,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
280,6.0,1.0,6.0,2.0,9.0,1.0,9.0,2.0,2.879957
281,6.0,1.0,6.0,2.0,10.0,1.0,3.0,2.0,0.355424
282,6.0,1.0,6.0,2.0,10.0,1.0,10.0,2.0,-2.879957
283,6.0,1.0,7.0,2.0,6.0,1.0,7.0,2.0,-0.259363
284,6.0,1.0,7.0,2.0,8.0,1.0,5.0,2.0,0.263392
285,6.0,1.0,8.0,2.0,3.0,1.0,7.0,2.0,-0.102702
286,6.0,1.0,8.0,2.0,6.0,1.0,8.0,2.0,-1.287347
287,6.0,1.0,8.0,2.0,7.0,1.0,5.0,2.0,1.290222
288,6.0,1.0,8.0,2.0,8.0,1.0,3.0,2.0,0.0996
289,6.0,1.0,8.0,2.0,8.0,1.0,10.0,2.0,-1.099741
290,6.0,1.0,8.0,2.0,9.0,1.0,7.0,2.0,1.105403
291,6.0,1.0,9.0,2.0,3.0,1.0,3.0,2.0,-0.000235
292,6.0,1.0,9.0,2.0,3.0,1.0,10.0,2.0,-0.400754
293,6.0,1.0,9.0,2.0,4.0,1.0,5.0,2.0,0.44546
294,6.0,1.0,9.0,2.0,6.0,1.0,4.0,2.0,-0.445327
295,6.0,1.0,9.0,2.0,6.0,1.0,9.0,2.0,-0.104837
296,6.0,1.0,9.0,2.0,8.0,1.0,7.0,2.0,0.001518
297,6.0,1.0,9.0,2.0,9.0,1.0,3.0,2.0,0.404213
298,6.0,1.0,9.0,2.0,9.0,1.0,10.0,2.0,-0.000558
299,6.0,1.0,9.0,2.0,10.0,1.0,5.0,2.0,0.106192
300,6.0,1.0,10.0,2.0,3.0,1.0,5.0,2.0,-0.802055
301,6.0,1.0,10.0,2.0,6.0,1.0,3.0,2.0,0.800474
302,6.0,1.0,10.0,2.0,6.0,1.0,10.0,2.0,-2.749444
303,6.0,1.0,10.0,2.0,9.0,1.0,5.0,2.0,2.773766
304,7.0,1.0,8.0,1.0,3.0,1.0,4.0,1.0,6.129595
305,7.0,1.0,8.0,1.0,3.0,1.0,10.0,1.0,0.488294
306,7.0,1.0,8.0,1.0,4.0,1.0,9.0,1.0,-0.488294
307,7.0,1.0,8.0,1.0,5.0,1.0,6.0,1.0,3.155283
